customer_id,recency_norm,engagement_norm,score_ts,churned_60d
CUST-0048,0.3200,0.2400,2026-04-22T00:00:00Z,0
CUST-0049,0.4100,0.3700,2026-04-22T00:00:00Z,0
CUST-0050,0.5000,0.5000,2026-04-22T00:00:00Z,0
CUST-0051,0.5900,0.6300,2026-04-22T00:00:00Z,0
CUST-0052,0.6800,0.7600,2026-04-22T00:00:00Z,0
CUST-0053,0.7700,0.8900,2026-04-22T00:00:00Z,0
CUST-0054,0.8600,0.0200,2026-04-22T00:00:00Z,1
CUST-0055,0.9500,0.1500,2026-04-22T00:00:00Z,1
CUST-0056,0.0400,0.2800,2026-04-22T00:00:00Z,0
CUST-0057,0.1300,0.4100,2026-04-22T00:00:00Z,0
CUST-0058,0.2200,0.5400,2026-04-22T00:00:00Z,0
CUST-0059,0.3100,0.6700,2026-04-22T00:00:00Z,0
CUST-0060,0.4000,0.8000,2026-04-22T00:00:00Z,0
CUST-0061,0.4900,0.9300,2026-04-22T00:00:00Z,0
CUST-0062,0.5800,0.0600,2026-04-22T00:00:00Z,1
CUST-0063,0.6700,0.1900,2026-04-22T00:00:00Z,1
CUST-0064,0.7600,0.3200,2026-04-22T00:00:00Z,1
CUST-0065,0.8500,0.4500,2026-04-22T00:00:00Z,1
CUST-0066,0.9400,0.5800,2026-04-22T00:00:00Z,1
CUST-0067,0.0300,0.7100,2026-04-22T00:00:00Z,0
CUST-0068,0.1200,0.8400,2026-04-22T00:00:00Z,0
CUST-0069,0.2100,0.9700,2026-04-22T00:00:00Z,0
CUST-0070,0.3000,0.1000,2026-04-22T00:00:00Z,0
CUST-0071,0.3900,0.2300,2026-04-22T00:00:00Z,0
CUST-0072,0.4800,0.3600,2026-04-22T00:00:00Z,0
CUST-0073,0.5700,0.4900,2026-04-22T00:00:00Z,0
CUST-0074,0.6600,0.6200,2026-04-22T00:00:00Z,0
CUST-0075,0.7500,0.7500,2026-04-22T00:00:00Z,0
CUST-0076,0.8400,0.8800,2026-04-22T00:00:00Z,0
CUST-0077,0.9300,0.0100,2026-04-22T00:00:00Z,1
CUST-0078,0.0200,0.1400,2026-04-22T00:00:00Z,0
CUST-0079,0.1100,0.2700,2026-04-22T00:00:00Z,0
CUST-0080,0.2000,0.4000,2026-04-22T00:00:00Z,0
CUST-0081,0.2900,0.5300,2026-04-22T00:00:00Z,0
CUST-0082,0.3800,0.6600,2026-04-22T00:00:00Z,0
CUST-0083,0.4700,0.7900,2026-04-22T00:00:00Z,0
CUST-0084,0.5600,0.9200,2026-04-22T00:00:00Z,0
CUST-0085,0.6500,0.0500,2026-04-22T00:00:00Z,1
CUST-0086,0.7400,0.1800,2026-04-22T00:00:00Z,1
CUST-0087,0.8300,0.3100,2026-04-22T00:00:00Z,1
CUST-0088,0.9200,0.4400,2026-04-22T00:00:00Z,1
CUST-0089,0.0100,0.5700,2026-04-22T00:00:00Z,0
CUST-0090,0.1000,0.7000,2026-04-22T00:00:00Z,0
CUST-0091,0.1900,0.8300,2026-04-22T00:00:00Z,0
CUST-0092,0.2800,0.9600,2026-04-22T00:00:00Z,0
CUST-0093,0.3700,0.0900,2026-04-22T00:00:00Z,0
CUST-0094,0.4600,0.2200,2026-04-22T00:00:00Z,0
CUST-0095,0.5500,0.3500,2026-04-22T00:00:00Z,0
CUST-0096,0.6400,0.4800,2026-04-22T00:00:00Z,0
CUST-0097,0.7300,0.6100,2026-04-22T00:00:00Z,0
CUST-0098,0.8200,0.7400,2026-04-22T00:00:00Z,0
CUST-0099,0.9100,0.8700,2026-04-22T00:00:00Z,0
CUST-0100,0.0000,0.0000,2026-04-22T00:00:00Z,0
CUST-0101,0.0900,0.1300,2026-04-22T00:00:00Z,0
CUST-0102,0.1800,0.2600,2026-04-22T00:00:00Z,0
CUST-0103,0.2700,0.3900,2026-04-22T00:00:00Z,0
CUST-0104,0.3600,0.5200,2026-04-22T00:00:00Z,0
CUST-0105,0.4500,0.6500,2026-04-22T00:00:00Z,0
CUST-0106,0.5400,0.7800,2026-04-22T00:00:00Z,0
CUST-0107,0.6300,0.9100,2026-04-22T00:00:00Z,0
CUST-0108,0.7200,0.0400,2026-04-22T00:00:00Z,1
CUST-0109,0.8100,0.1700,2026-04-22T00:00:00Z,1
CUST-0110,0.9000,0.3000,2026-04-22T00:00:00Z,1
CUST-0111,0.9900,0.4300,2026-04-22T00:00:00Z,1
CUST-0112,0.0800,0.5600,2026-04-22T00:00:00Z,0
CUST-0113,0.1700,0.6900,2026-04-22T00:00:00Z,0
CUST-0114,0.2600,0.8200,2026-04-22T00:00:00Z,0
CUST-0115,0.3500,0.9500,2026-04-22T00:00:00Z,0
CUST-0116,0.4400,0.0800,2026-04-22T00:00:00Z,1
CUST-0117,0.5300,0.2100,2026-04-22T00:00:00Z,1
CUST-0118,0.6200,0.3400,2026-04-22T00:00:00Z,1
CUST-0119,0.7100,0.4700,2026-04-22T00:00:00Z,1
CUST-0120,0.8000,0.6000,2026-04-22T00:00:00Z,1
CUST-0121,0.8900,0.7300,2026-04-22T00:00:00Z,1
CUST-0122,0.9800,0.8600,2026-04-22T00:00:00Z,1
CUST-0123,0.0700,0.9900,2026-04-22T00:00:00Z,0
CUST-0124,0.1600,0.1200,2026-04-22T00:00:00Z,0
CUST-0125,0.2500,0.2500,2026-04-22T00:00:00Z,0
CUST-0126,0.3400,0.3800,2026-04-22T00:00:00Z,0
CUST-0127,0.4300,0.5100,2026-04-22T00:00:00Z,0
CUST-0128,0.5200,0.6400,2026-04-22T00:00:00Z,0
CUST-0129,0.6100,0.7700,2026-04-22T00:00:00Z,0
CUST-0130,0.7000,0.9000,2026-04-22T00:00:00Z,0
CUST-0131,0.7900,0.0300,2026-04-22T00:00:00Z,1
CUST-0132,0.8800,0.1600,2026-04-22T00:00:00Z,1
CUST-0133,0.9700,0.2900,2026-04-22T00:00:00Z,1
CUST-0134,0.0600,0.4200,2026-04-22T00:00:00Z,0
CUST-0135,0.1500,0.5500,2026-04-22T00:00:00Z,0
CUST-0136,0.2400,0.6800,2026-04-22T00:00:00Z,0
CUST-0137,0.3300,0.8100,2026-04-22T00:00:00Z,0
CUST-0138,0.4200,0.9400,2026-04-22T00:00:00Z,0
CUST-0139,0.5100,0.0700,2026-04-22T00:00:00Z,1
CUST-0140,0.6000,0.2000,2026-04-22T00:00:00Z,1
