customer_id,risk_score,value_score,score_ts,historical_action_id,observed_uplift,retained_30d
CUST-0032,0.8400,0.3400,2026-04-22T00:00:00Z,offer_10pct_discount,0.1934,1
CUST-0033,0.1600,0.3900,2026-04-22T00:00:00Z,free_shipping_offer,0.0823,0
CUST-0034,0.2300,0.4400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.0987,0
CUST-0035,0.3000,0.4900,2026-04-22T00:00:00Z,retargeting_creative_a,0.1151,0
CUST-0036,0.3700,0.5400,2026-04-22T00:00:00Z,offer_10pct_discount,0.1315,0
CUST-0037,0.4400,0.5900,2026-04-22T00:00:00Z,free_shipping_offer,0.1479,1
CUST-0038,0.5100,0.6400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1643,1
CUST-0039,0.5800,0.6900,2026-04-22T00:00:00Z,retargeting_creative_a,0.1807,1
CUST-0040,0.6500,0.7400,2026-04-22T00:00:00Z,offer_10pct_discount,0.1971,1
CUST-0041,0.7200,0.7900,2026-04-22T00:00:00Z,free_shipping_offer,0.2135,1
CUST-0042,0.7900,0.8400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.2299,1
CUST-0043,0.1100,0.8900,2026-04-22T00:00:00Z,retargeting_creative_a,0.1188,0
CUST-0044,0.1800,0.2200,2026-04-22T00:00:00Z,offer_10pct_discount,0.0704,0
CUST-0045,0.2500,0.2700,2026-04-22T00:00:00Z,free_shipping_offer,0.0868,0
CUST-0046,0.3200,0.3200,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1032,0
CUST-0047,0.3900,0.3700,2026-04-22T00:00:00Z,retargeting_creative_a,0.1196,0
CUST-0048,0.4600,0.4200,2026-04-22T00:00:00Z,offer_10pct_discount,0.1360,0
CUST-0049,0.5300,0.4700,2026-04-22T00:00:00Z,free_shipping_offer,0.1524,1
CUST-0050,0.6000,0.5200,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1688,1
CUST-0051,0.6700,0.5700,2026-04-22T00:00:00Z,retargeting_creative_a,0.1852,1
CUST-0052,0.7400,0.6200,2026-04-22T00:00:00Z,offer_10pct_discount,0.2016,1
CUST-0053,0.8100,0.6700,2026-04-22T00:00:00Z,free_shipping_offer,0.2180,1
CUST-0054,0.1300,0.7200,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1069,0
CUST-0055,0.2000,0.7700,2026-04-22T00:00:00Z,retargeting_creative_a,0.1233,0
CUST-0056,0.2700,0.8200,2026-04-22T00:00:00Z,offer_10pct_discount,0.1397,0
CUST-0057,0.3400,0.8700,2026-04-22T00:00:00Z,free_shipping_offer,0.1561,1
CUST-0058,0.4100,0.2000,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1077,0
CUST-0059,0.4800,0.2500,2026-04-22T00:00:00Z,retargeting_creative_a,0.1241,0
CUST-0060,0.5500,0.3000,2026-04-22T00:00:00Z,offer_10pct_discount,0.1405,1
CUST-0061,0.6200,0.3500,2026-04-22T00:00:00Z,free_shipping_offer,0.1569,1
CUST-0062,0.6900,0.4000,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1733,1
CUST-0063,0.7600,0.4500,2026-04-22T00:00:00Z,retargeting_creative_a,0.1897,1
CUST-0064,0.8300,0.5000,2026-04-22T00:00:00Z,offer_10pct_discount,0.2061,1
CUST-0065,0.1500,0.5500,2026-04-22T00:00:00Z,free_shipping_offer,0.0950,0
CUST-0066,0.2200,0.6000,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1114,0
CUST-0067,0.2900,0.6500,2026-04-22T00:00:00Z,retargeting_creative_a,0.1278,0
CUST-0068,0.3600,0.7000,2026-04-22T00:00:00Z,offer_10pct_discount,0.1442,1
CUST-0069,0.4300,0.7500,2026-04-22T00:00:00Z,free_shipping_offer,0.1606,1
CUST-0070,0.5000,0.8000,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1770,1
CUST-0071,0.5700,0.8500,2026-04-22T00:00:00Z,retargeting_creative_a,0.1934,1
CUST-0072,0.6400,0.1800,2026-04-22T00:00:00Z,offer_10pct_discount,0.1450,1
CUST-0073,0.7100,0.2300,2026-04-22T00:00:00Z,free_shipping_offer,0.1614,1
CUST-0074,0.7800,0.2800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1778,1
CUST-0075,0.1000,0.3300,2026-04-22T00:00:00Z,retargeting_creative_a,0.0667,0
CUST-0076,0.1700,0.3800,2026-04-22T00:00:00Z,offer_10pct_discount,0.0831,0
CUST-0077,0.2400,0.4300,2026-04-22T00:00:00Z,free_shipping_offer,0.0995,0
CUST-0078,0.3100,0.4800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1159,0
CUST-0079,0.3800,0.5300,2026-04-22T00:00:00Z,retargeting_creative_a,0.1323,0
CUST-0080,0.4500,0.5800,2026-04-22T00:00:00Z,offer_10pct_discount,0.1487,1
CUST-0081,0.5200,0.6300,2026-04-22T00:00:00Z,free_shipping_offer,0.1651,1
CUST-0082,0.5900,0.6800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1815,1
CUST-0083,0.6600,0.7300,2026-04-22T00:00:00Z,retargeting_creative_a,0.1979,1
CUST-0084,0.7300,0.7800,2026-04-22T00:00:00Z,offer_10pct_discount,0.2143,1
CUST-0085,0.8000,0.8300,2026-04-22T00:00:00Z,free_shipping_offer,0.2307,1
CUST-0086,0.1200,0.8800,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1196,0
CUST-0087,0.1900,0.2100,2026-04-22T00:00:00Z,retargeting_creative_a,0.0712,0
CUST-0088,0.2600,0.2600,2026-04-22T00:00:00Z,offer_10pct_discount,0.0876,0
CUST-0089,0.3300,0.3100,2026-04-22T00:00:00Z,free_shipping_offer,0.1040,0
CUST-0090,0.4000,0.3600,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1204,0
CUST-0091,0.4700,0.4100,2026-04-22T00:00:00Z,retargeting_creative_a,0.1368,0
CUST-0092,0.5400,0.4600,2026-04-22T00:00:00Z,offer_10pct_discount,0.1532,1
CUST-0093,0.6100,0.5100,2026-04-22T00:00:00Z,free_shipping_offer,0.1696,1
CUST-0094,0.6800,0.5600,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1860,1
CUST-0095,0.7500,0.6100,2026-04-22T00:00:00Z,retargeting_creative_a,0.2024,1
CUST-0096,0.8200,0.6600,2026-04-22T00:00:00Z,offer_10pct_discount,0.2188,1
CUST-0097,0.1400,0.7100,2026-04-22T00:00:00Z,free_shipping_offer,0.1077,0
CUST-0098,0.2100,0.7600,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1241,0
CUST-0099,0.2800,0.8100,2026-04-22T00:00:00Z,retargeting_creative_a,0.1405,1
CUST-0100,0.3500,0.8600,2026-04-22T00:00:00Z,offer_10pct_discount,0.1569,1
CUST-0101,0.4200,0.1900,2026-04-22T00:00:00Z,free_shipping_offer,0.1085,0
CUST-0102,0.4900,0.2400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1249,0
CUST-0103,0.5600,0.2900,2026-04-22T00:00:00Z,retargeting_creative_a,0.1413,1
CUST-0104,0.6300,0.3400,2026-04-22T00:00:00Z,offer_10pct_discount,0.1577,1
CUST-0105,0.7000,0.3900,2026-04-22T00:00:00Z,free_shipping_offer,0.1741,1
CUST-0106,0.7700,0.4400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1905,1
CUST-0107,0.8400,0.4900,2026-04-22T00:00:00Z,retargeting_creative_a,0.2069,1
CUST-0108,0.1600,0.5400,2026-04-22T00:00:00Z,offer_10pct_discount,0.0958,0
CUST-0109,0.2300,0.5900,2026-04-22T00:00:00Z,free_shipping_offer,0.1122,0
CUST-0110,0.3000,0.6400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1286,0
CUST-0111,0.3700,0.6900,2026-04-22T00:00:00Z,retargeting_creative_a,0.1450,1
CUST-0112,0.4400,0.7400,2026-04-22T00:00:00Z,offer_10pct_discount,0.1614,1
CUST-0113,0.5100,0.7900,2026-04-22T00:00:00Z,free_shipping_offer,0.1778,1
CUST-0114,0.5800,0.8400,2026-04-22T00:00:00Z,loyalty_bonus_points,0.1942,1
CUST-0115,0.6500,0.8900,2026-04-22T00:00:00Z,retargeting_creative_a,0.2106,1
CUST-0116,0.7200,0.2200,2026-04-22T00:00:00Z,offer_10pct_discount,0.1622,1
CUST-0117,0.7900,0.2700,2026-04-22T00:00:00Z,free_shipping_offer,0.1786,1
CUST-0118,0.1100,0.3200,2026-04-22T00:00:00Z,loyalty_bonus_points,0.0675,0
CUST-0119,0.1800,0.3700,2026-04-22T00:00:00Z,retargeting_creative_a,0.0839,0
CUST-0120,0.2500,0.4200,2026-04-22T00:00:00Z,offer_10pct_discount,0.1003,0
